,
,
,
,
,
,
,
Questions,Réponses
Quels sont les noms de légende Joey et Phoebe ?,Ken Adams et Regina Phalange
Quel est le prénom de la copine chauve de Ross ?,Bonnie
Quel est le 2ème prénom de Chandler ?,Muriel
Et de Rachel,Karen
Comment s'appelle le chat dans lequel Phoebe croit que sa mère s'est réincarnée ?,Julio
Comment s'appelle Brad Pitt ?,Will
Et son club ?,I hate Rachel Club
Comment s'appelle le copain de Phoebe qui part vivre à Minsk,David
Qui dit I could have a cat ?,Mr Heckles
Quel surnom avait Monica au lycée,Big fat goalie 
"À qui Chandler dit il ""step away from the duck""",Tommy (Ben Stiller)
À quelle ville devait s'arrêter Ross quand il loupe son arrêt et se réveille à Montréal ?,Pookipsy 
Comment dit on je m'appelle Claude en Français selon Joey ?,Je bou bou Claude
