🏆 FAMILLE EN OR — Manches (Phase 1),,,,
Remplis les questions et réponses. Les réponses doivent être classées de la plus fréquente (#1) à la moins fréquente. Total des points ≈ 100 par question.,,,,
N°,Type,Question / Réponse,Points,Notes (optionnel)
Q1,,A qui une femme ne dirait-elle pas qu'elle trompe son mari ?,,
1,Réponse,Sa belle-mère,23,
2,Réponse,Sa propre mère,21,
3,Réponse,Ami de son mari,15,
4,Réponse,Meilleure amie,15,
5,Réponse,Enfants,12,
,,,,
Q2,,Que veut-on rendre à quelqu'un après une rupture ?,,
1,Réponse,Bijoux,73,
2,Réponse,Lettres,12,
3,Réponse,Clés de l'appartement,4,
4,Réponse,Photos,4,
5,Réponse,Vêtements,3,
,,,,
Q3,,De quoi certaines personnes abusent-elles ?,,
1,Réponse,Alcool,64,
2,Réponse,Bonté/Patience des gens,15,
3,Réponse,Cigarettes,9,
4,Réponse,Argent,2,
5,Réponse,Drogue,2,
6,Réponse,Nourriture,2,
7,Réponse,Pouvoir,2,
,,,,
Q4,,Quel animal est difficile à promener en laisse ?,,
1,Réponse,Chat,20,
2,Réponse,Lion,14,
3,Réponse,Elephant,12,
4,Réponse,Serpent,9,
5,Réponse,Oiseau/Poule,7,
6,Réponse,Tigre,7,
,,,,
Q5,,Qu'est-ce qui fait dire d'un homme qu'il a la classe ?,,
1,Réponse,Bien habillé,63,
2,Réponse,Allure/Démarche,12,
3,Réponse,Grand,5,
4,Réponse,Langage raffiné,4,
5,Réponse,Galant/Courtois,3,
,,,,
Q6,,Quand une femme retire t'elle son alliance ?,,
1,Réponse,Avec son amant,21,
2,Réponse,Faire la vaisselle,18,
3,Réponse,Divorcée,13,
4,Réponse,Se laver,7,
,,,,
Q7,,Quelle peut être la réaction d'un homme quand sa petite amie lui apprend qu'elle est enceinte,,
1,Réponse,Content/Heureux,57,
2,Réponse,Mécontent,11,
3,Réponse,La quitte,10,
4,Réponse,S'étonne,6,
5,Réponse,L'épouse,3,
6,Réponse,Panique/Angoisse,3,
,,,,
Q8,,Pour quelle raison un homme peut-il se sentir coupable envers sa femme ?,,
1,Réponse,Infidèle,90,
2,Réponse,L'a frappée,3,
3,Réponse,A oublié son anniversaire,2,
4,Réponse,Pas bon au lit,2,
,,,,
Q9,,Qu'associe t'on au Maroc ?,,
1,Réponse,Couscous,23,
2,Réponse,Soleil/Chaleur,23,
3,Réponse,Hassan II,10,
4,Réponse,Désert/Sahara,7,
5,Réponse,Oranges,7,
6,Réponse,Marchés/Souks,5,
,,,,
Q10,,De quoi parlent les femmes chez le coiffeur ?,,
1,Réponse,Famille,28,
2,Réponse,Mode vestimentaire,17,
3,Réponse,Coiffure/Cheveux,11,
4,Réponse,Ragots/Commérages,11,
5,Réponse,Cuisine,7,
